compound_name,smiles,molecular_weight,log_p,tpsa,h_bond_donors,h_bond_acceptors,log_kp_measured,n_measurements,measurement_spread,in_domain,source,doi
"1,1,1-Trichloropropanone",CC(=O)C(Cl)(Cl)Cl,161.42,1.95,17.07,0,1,-1.62,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9494
"1,1-Dichloropropanone",CC(=O)C(Cl)Cl,126.97,1.38,17.07,0,1,-1.367,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9494
"1,2,4-Benzenetriol",Oc1ccc(O)c(O)c1,126.11,0.8,60.69,3,3,-3.9,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0928-0987(02)00085-4
"1,6-hexanediol diglycidyl ether",C(CCCOCC1CO1)CCOCC1CO1,230.3,1.38,43.52,0,4,-3.867,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1080/004982500237488
1-Butanol,CCCCO,74.12,0.78,20.23,1,1,-2.523,14,3.075,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600840607; 10.1007/s11095-010-0181-z; 10.1023/A:1016096626810; 10.1038/jid.1965.140; 10.1038/jid.1967.11; 10.1038/jid.1967.184; 10.1046/j.1523-1747.2003.12131.x; 10.1111/1523-1747.ep12723
1-Decanol,CCCCCCCCCCO,158.28,3.12,20.23,1,1,-1.959,7,5.051,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.yrtph.2010.02.008; 10.1023/A:1007547809430; 10.1046/j.1523-1747.2003.12131.x; 10.1111/1523-1747.ep12723090
1-Dodecyl glycidyl ether,CCCCCCCCCCCCOCC1CO1,242.4,4.32,21.76,0,2,-5.48,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1080/004982500237488
1-Heptanol,CCCCCCCO,116.2,1.95,20.23,1,1,-1.495,7,6.107,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1965.140; 10.1038/jid.1967.11; 10.1111/1523-1747.ep12723090; 10.1152/physrev.1971.51.4.702
1-Hexanol,CCCCCCO,102.18,1.56,20.23,1,1,-1.728,13,5.398,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-010-0181-z; 10.1038/jid.1965.140; 10.1046/j.1523-1747.2003.12131.x; 10.1111/1523-1747.ep12460958; 10.1111/1523-1747.ep12723090; 10.1152/physrev.1971.51.4.702
1-Hexyl-2-Pyrrolidone,CCCCCCN1CCCC1=O,169.27,2.19,20.31,0,1,-1.652,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-010-0181-z
1-Methoxy-2-Propanol,COCC(C)O,90.12,0.01,29.46,1,2,-2.872,2,0.062,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s00420-002-0367-8; 10.1289/ehp.8457193
1-Nonanol,CCCCCCCCCO,144.26,2.73,20.23,1,1,-1.222,3,7.301,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12723090; 10.1152/physrev.1971.51.4.702
1-Octanol,CCCCCCCCO,130.23,2.34,20.23,1,1,-1.284,14,6.716,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-010-0181-z; 10.1016/0378-5173(84)90145-5; 10.1023/A:1007547809430; 10.1038/jid.1964.174; 10.1038/jid.1965.140; 10.1046/j.1523-1747.2003.12131.x; 10.1111/1523-1747.ep12723090; 10.1152/ph
1-Octyl-2-Azacycloheptanone,CCCCCCCCN1CCCCCC1=O,225.38,3.75,20.31,0,1,-1.199,2,0.162,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-010-0181-z
1-Octyl-2-Pyrrolidone,CCCCCCCCN1CCCC1=O,197.32,2.97,20.31,0,1,-1.262,2,0.017,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-010-0181-z
1-Pentanol,CCCCCO,88.15,1.17,20.23,1,1,-2.222,8,5.071,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-010-0181-z; 10.1038/jid.1964.174; 10.1038/jid.1965.140; 10.1111/1523-1747.ep12723090; 10.1152/physrev.1971.51.4.702
1-Propanol,CCCO,60.1,0.39,20.23,1,1,-2.812,8,3.942,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1964.174; 10.1038/jid.1965.140; 10.1038/jid.1967.11; 10.1111/1523-1747.ep12723090; 10.1152/physrev.1971.51.4.702
17-Hydroxyprogesterone,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,330.47,3.84,54.37,1,3,-3.222,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1969.9
"2,3-Butanediol",CC(O)C(C)O,90.12,-0.25,40.46,2,2,-4.301,2,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1038/jid.1967.11; 10.1038/jid.1967.184
"2,4,6-Trichlorophenol",Oc1c(Cl)cc(Cl)cc1Cl,197.45,3.35,20.23,1,1,-1.227,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/j.2042-7158.1977.tb11434.x
"2,4-Dichlorophenol",Oc1ccc(Cl)cc1Cl,163.0,2.7,20.23,1,1,-1.365,2,0.287,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.yrtph.2010.02.008; 10.1111/j.2042-7158.1977.tb11434.x
2-(2-Ethoxyethoxy)ethanol,CCOCCOCCO,134.18,0.03,38.69,1,3,-3.88,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1289/ehp.8457193
2-(2-Methoxyethoxy)ethanol,COCCOCCO,120.15,-0.36,38.69,1,3,-3.686,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1289/ehp.8457193
2-Amino-4-Nitrophenol,Nc1cc([N+](=O)[O-])ccc1O,154.12,0.88,89.39,2,4,-3.852,2,1.342,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12263302
2-Butoxyethanol,CCCCOCCO,118.18,0.8,29.46,1,2,-2.691,2,1.958,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s00420-002-0367-8; 10.1289/ehp.8457193
2-Ethoxyethanol,CCOCCO,90.12,0.02,29.46,1,2,-3.075,9,2.24,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/taap.2002.9373; 10.1007/s00420-002-0367-8; 10.1038/jid.1967.11; 10.1038/jid.1967.184; 10.1289/ehp.8457193
2-Ethoxyethyl acetate,CCOCCOC(C)=O,132.16,0.59,35.53,0,3,-1.188,2,3.81,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0272-0590(92)90086-W; 10.1289/ehp.8457193
2-Ethylhexanol,CCCCC(CC)CO,130.23,2.2,20.23,1,1,-0.787,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0272-0590(92)90086-W
2-Hydroxypropyl Nicotinate,CC(O)COC(=O)c1cccnc1,181.19,0.62,59.42,1,4,-4.469,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600800114
2-Methoxyethanol,COCCO,76.09,-0.37,29.46,1,2,-2.539,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1289/ehp.8457193
2-Naphthol,Oc1ccc2ccccc2c1,144.17,2.55,20.23,1,1,-1.378,2,0.354,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-009-9912-4; 10.1111/j.2042-7158.1977.tb11434.x
2-Nitro-p-Phenylenediamine,Nc1ccc(N)c([N+](=O)[O-])c1,153.14,0.76,95.18,2,4,-3.301,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12263302
2-Phenylethanol,OCCc1ccccc1,122.17,1.22,20.23,1,1,-1.72,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-010-0181-z
2-Phenylphenol,Oc1ccccc1-c1ccccc1,170.21,3.06,20.23,1,1,-2.268,2,1.061,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1006/rtph.2001.1530
2-Propoxyethanol,CCCOCCO,104.15,0.41,29.46,1,2,-2.987,3,3.731,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0272-0590(92)90086-W; 10.1016/j.tiv.2004.03.004
2-phenoxyethanol,OCCOc1ccccc1,138.17,1.06,29.46,1,2,-2.874,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/s0278-6915(97)00109-9
"3,4-Xylenol",Cc1ccc(O)cc1C,122.17,2.01,20.23,1,1,-1.444,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/j.2042-7158.1977.tb11434.x
"4,4'-Methylenedianiline",Nc1ccc(Cc2ccc(N)cc2)cc1,198.27,2.44,52.04,2,2,-2.663,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.tox.2003.11.004
4-Amino-2-Nitrophenol,Nc1ccc(O)c([N+](=O)[O-])c1,154.12,0.88,89.39,2,4,-3.309,2,1.513,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12263302
4-Chloro-m-Phenylenediamine,Nc1ccc(Cl)c(N)c1,142.59,1.5,52.04,2,2,-2.678,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12263302
4-Cyanophenol,N#Cc1ccc(O)cc1,119.12,1.26,44.02,1,2,-2.175,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1159/000272121
4-Hydroxybenzyl alcohol,OCc1ccc(O)cc1,124.14,0.88,40.46,2,2,-2.699,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12277592
4-Hydroxyphenylacetamide,NC(=O)Cc1ccc(O)cc1,151.16,0.42,63.32,2,2,-3.347,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12277592
4-Hydroxyphenylacetic acid,O=C(O)Cc1ccc(O)cc1,152.15,1.02,57.53,2,2,-2.602,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12277592
4-Propoxyphenol,CCCOc1ccc(O)cc1,152.19,2.18,29.46,1,2,-1.824,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1007/s11095-009-9912-4
5-Aminolevulinic acid,NCC(=O)CCC(=O)O,131.13,-0.62,80.39,2,3,-4.155,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/bip.21520
5-Fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,130.08,-0.8,65.72,2,2,-4.018,3,0.718,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(92)90032-W; 10.1023/a:1015824100788; 10.1111/1523-1747.ep12874561
Acetic acid,CC(=O)O,60.05,0.09,37.3,1,1,-2.523,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/j.yrtph.2010.02.008
Acetylsalicylic Acid,CC(=O)Oc1ccccc1C(=O)O,180.16,1.31,63.6,1,3,-2.14,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(98)00113-6
Aldosterone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12,360.45,1.85,91.67,2,5,-4.412,4,1.286,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600840922; 10.1023/A:1007547809430; 10.1023/A:1016096626810; 10.1038/jid.1969.9
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.28,1.18,75.27,2,3,-2.645,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(87)90210-9
Amphetamine,CC(N)Cc1ccccc1,135.21,1.58,26.02,1,1,-2.944,2,3.817,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1111/1523-1747.ep12598596
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34,0.45,84.58,3,4,-4.301,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(99)00380-4
Atropine,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,289.38,1.93,49.77,1,4,-4.599,2,0.959,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/aic.690210522; 10.1016/S0378-5173(98)00113-6
Barbital,CCC1(CC)C(=O)NC(=O)NC1=O,184.19,0.16,75.27,2,3,-3.953,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/0378-5173(87)90210-9
Benzene,c1ccccc1,78.11,1.69,0.0,0,0,-0.875,2,0.159,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600840607; 10.1111/1523-1747.ep12277325
Benzoic acid,O=C(O)c1ccccc1,122.12,1.38,37.3,1,1,-1.859,2,0.519,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1016/S0378-5173(98)00113-6; 10.1016/j.yrtph.2010.02.008
Benzyl nicotinate,O=C(OCc1ccccc1)c1cccnc1,213.24,2.44,39.19,0,3,-1.792,1,0.0,1,"Frohlich et al. (2020) Scientific Data 7:414, doi:10.1038/s41597-020-00764-z",10.1002/jps.2600800114
